.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi
NA,ACTUAL,actual,2020-07-06,281,NA,NA
NA,ACTUAL,actual,2020-07-13,187,NA,NA
NA,ACTUAL,actual,2020-07-20,151,NA,NA
NA,ACTUAL,actual,2020-07-27,130,NA,NA
NA,ACTUAL,actual,2020-08-03,130,NA,NA
NA,ACTUAL,actual,2020-08-10,124,NA,NA
NA,ACTUAL,actual,2020-08-17,93,NA,NA
NA,ACTUAL,actual,2020-08-24,129,NA,NA
NA,ACTUAL,actual,2020-08-31,136,NA,NA
NA,ACTUAL,actual,2020-09-07,142,NA,NA
NA,ACTUAL,actual,2020-09-14,137,NA,NA
NA,ACTUAL,actual,2020-09-21,135,NA,NA
NA,ACTUAL,actual,2020-09-28,174,NA,NA
NA,ACTUAL,actual,2020-10-05,141,NA,NA
NA,ACTUAL,actual,2020-10-12,180,NA,NA
NA,ACTUAL,actual,2020-10-19,177,NA,NA
NA,ACTUAL,actual,2020-10-26,169,NA,NA
NA,ACTUAL,actual,2020-11-02,163,NA,NA
NA,ACTUAL,actual,2020-11-09,118,NA,NA
NA,ACTUAL,actual,2020-11-16,114,NA,NA
NA,ACTUAL,actual,2020-11-23,78,NA,NA
NA,ACTUAL,actual,2020-11-30,84,NA,NA
NA,ACTUAL,actual,2020-12-07,96,NA,NA
NA,ACTUAL,actual,2020-12-14,105,NA,NA
NA,ACTUAL,actual,2020-12-21,104,NA,NA
NA,ACTUAL,actual,2020-12-28,112,NA,NA
NA,ACTUAL,actual,2021-01-04,120,NA,NA
NA,ACTUAL,actual,2021-01-11,137,NA,NA
NA,ACTUAL,actual,2021-01-18,144,NA,NA
NA,ACTUAL,actual,2021-01-25,149,NA,NA
NA,ACTUAL,actual,2021-02-01,165,NA,NA
NA,ACTUAL,actual,2021-02-08,165,NA,NA
NA,ACTUAL,actual,2021-02-15,156,NA,NA
NA,ACTUAL,actual,2021-02-22,150,NA,NA
NA,ACTUAL,actual,2021-03-01,140,NA,NA
NA,ACTUAL,actual,2021-03-08,130,NA,NA
NA,ACTUAL,actual,2021-03-15,125,NA,NA
NA,ACTUAL,actual,2021-03-22,122,NA,NA
NA,ACTUAL,actual,2021-03-29,144,NA,NA
NA,ACTUAL,actual,2021-04-05,134,NA,NA
NA,ACTUAL,actual,2021-04-12,138,NA,NA
NA,ACTUAL,actual,2021-04-19,140,NA,NA
NA,ACTUAL,actual,2021-04-26,136,NA,NA
NA,ACTUAL,actual,2021-05-03,153,NA,NA
NA,ACTUAL,actual,2021-05-10,130,NA,NA
NA,ACTUAL,actual,2021-05-17,121,NA,NA
NA,ACTUAL,actual,2021-05-24,111,NA,NA
NA,ACTUAL,actual,2021-05-31,108,NA,NA
NA,ACTUAL,actual,2021-06-07,106,NA,NA
NA,ACTUAL,actual,2021-06-14,84,NA,NA
